name,time,accuracy,hamming,method,tol,rtol,p,l1,method_str
572block-boyd_tol_1e-07_rtol_1e-07_p_1000_l1_0.1,1.1121673659999942,2.490771001972346e-05,680,572block-boyd,1e-07,1e-07,1000,0.1,block-boyd
63block-boyd_tol_1e-06_rtol_1e-07_p_500_l1_0.1,0.4273560950000501,0.0015179182365484543,524,63block-boyd,1e-06,1e-07,500,0.1,block-boyd
63block-boyd_tol_1e-06_rtol_1e-06_p_500_l1_0.1,0.5743467515003431,0.0015179184944224765,524,63block-boyd,1e-06,1e-06,500,0.1,block-boyd
63block-boyd_tol_1e-06_rtol_1e-05_p_500_l1_0.1,0.5815101875004984,0.0015179191535396527,1970,63block-boyd,1e-06,1e-05,500,0.1,block-boyd
63block-boyd_tol_1e-07_rtol_1e-07_p_500_l1_0.1,1.024269688500226,0.0001117566228430982,672,63block-boyd,1e-07,1e-07,500,0.1,block-boyd
63block-boyd_tol_1e-07_rtol_1e-05_p_500_l1_0.1,1.1768177154999648,0.0001198685327875313,524,63block-boyd,1e-07,1e-05,500,0.1,block-boyd
63block-boyd_tol_1e-07_rtol_1e-06_p_500_l1_0.1,1.2071257630000218,0.00011175674609263687,672,63block-boyd,1e-07,1e-06,500,0.1,block-boyd
63block-boyd_tol_1e-08_rtol_1e-05_p_500_l1_0.1,2.2050126194994846,2.344325638320062e-05,672,63block-boyd,1e-08,1e-05,500,0.1,block-boyd
63block-boyd_tol_1e-08_rtol_1e-07_p_500_l1_0.1,2.3207964324997192,1.8675961123251922e-05,686,63block-boyd,1e-08,1e-07,500,0.1,block-boyd
63block-boyd_tol_1e-08_rtol_1e-06_p_500_l1_0.1,2.4230612840001413,1.8676143254454518e-05,686,63block-boyd,1e-08,1e-06,500,0.1,block-boyd
1950block-boyd_tol_1e-08_rtol_1e-06_p_2000_l1_0.5,0.2671249679997345,2.867973091851286e-07,1920,1950block-boyd,1e-08,1e-06,2000,0.5,block-boyd
1950block-boyd_tol_1e-06_rtol_1e-05_p_2000_l1_0.5,0.26719905699974333,1.278250763071655e-05,1920,1950block-boyd,1e-06,1e-05,2000,0.5,block-boyd
1950block-boyd_tol_1e-07_rtol_1e-05_p_2000_l1_0.5,0.2681011259992374,2.7858879209785866e-06,1920,1950block-boyd,1e-07,1e-05,2000,0.5,block-boyd
1950block-boyd_tol_1e-08_rtol_1e-07_p_2000_l1_0.5,0.27013307100060047,1.34679160190922e-07,1920,1950block-boyd,1e-08,1e-07,2000,0.5,block-boyd
1950block-boyd_tol_1e-07_rtol_1e-07_p_2000_l1_0.5,0.2846485339996434,1.3036454876179544e-06,1920,1950block-boyd,1e-07,1e-07,2000,0.5,block-boyd
1950block-boyd_tol_1e-08_rtol_1e-05_p_2000_l1_0.5,0.2940204704991629,1.9052961789981268e-06,1920,1950block-boyd,1e-08,1e-05,2000,0.5,block-boyd
970block-boyd_tol_1e-06_rtol_1e-06_p_1000_l1_0.5,0.09073438400082523,1.8058687308046748e-05,892,970block-boyd,1e-06,1e-06,1000,0.5,block-boyd
970block-boyd_tol_1e-07_rtol_1e-06_p_1000_l1_0.5,0.09405384299952857,1.7864571470331688e-06,892,970block-boyd,1e-07,1e-06,1000,0.5,block-boyd
970block-boyd_tol_1e-07_rtol_1e-05_p_1000_l1_0.5,0.10182042349970288,3.4549927200770294e-06,892,970block-boyd,1e-07,1e-05,1000,0.5,block-boyd
970block-boyd_tol_1e-08_rtol_1e-06_p_1000_l1_0.5,0.1042573304994221,3.449774838571184e-07,892,970block-boyd,1e-08,1e-06,1000,0.5,block-boyd
970block-boyd_tol_1e-08_rtol_1e-05_p_1000_l1_0.5,0.10433511649989669,2.4840664152762106e-06,892,970block-boyd,1e-08,1e-05,1000,0.5,block-boyd
970block-boyd_tol_1e-08_rtol_1e-07_p_1000_l1_0.5,0.1108801365007821,1.7900146960732827e-07,892,970block-boyd,1e-08,1e-07,1000,0.5,block-boyd
regain_tol_0.0001_rtol_0.0001_p_100_l1_0.05,0.07158335500025714,0.002602378886252958,992,regain,0.0001,0.0001,100,0.05,regain
regain_tol_0.0001_rtol_0.001_p_100_l1_0.05,0.07745889599937072,0.003379498383997415,992,regain,0.0001,0.001,100,0.05,regain
regain_tol_1e-06_rtol_0.001_p_100_l1_0.05,0.0799154960004671,0.0009607984533431214,986,regain,1e-06,0.001,100,0.05,regain
regain_tol_0.0001_rtol_0.001_p_100_l1_0.1,0.08287207300054433,0.0026422766106089122,1164,regain,0.0001,0.001,100,0.1,regain
regain_tol_1e-05_rtol_0.0001_p_100_l1_0.05,0.08961424949939101,0.0003793942647122141,940,regain,1e-05,0.0001,100,0.05,regain
regain_tol_1e-06_rtol_0.001_p_100_l1_0.1,0.09437956049987406,0.0015810115058363015,1162,regain,1e-06,0.001,100,0.1,regain
regain_tol_1e-05_rtol_0.001_p_100_l1_0.05,0.09792431200003193,0.0012242837679570203,940,regain,1e-05,0.001,100,0.05,regain
regain_tol_1e-05_rtol_0.001_p_100_l1_0.1,0.10596984649873775,0.0017933953662619916,1154,regain,1e-05,0.001,100,0.1,regain
regain_tol_1e-05_rtol_1e-05_p_100_l1_0.05,0.10881027999948856,0.000303819613391284,978,regain,1e-05,1e-05,100,0.05,regain
regain_tol_1e-06_rtol_0.0001_p_100_l1_0.05,0.1100264934993902,0.0001607673348337107,988,regain,1e-06,0.0001,100,0.05,regain
regain_tol_0.0001_rtol_0.0001_p_100_l1_0.5,0.11021109450030053,0.0004256621039658341,1920,regain,0.0001,0.0001,100,0.5,regain
regain_tol_1e-06_rtol_0.001_p_100_l1_0.5,0.1417057355010911,0.0003746000859030587,1920,regain,1e-06,0.001,100,0.5,regain
regain_tol_0.0001_rtol_0.001_p_100_l1_0.5,0.15025290299945482,0.0014578972107694391,1920,regain,0.0001,0.001,100,0.5,regain
regain_tol_1e-06_rtol_0.0001_p_100_l1_0.1,0.1566462685004808,0.0002370894662301976,1164,regain,1e-06,0.0001,100,0.1,regain
regain_tol_1e-05_rtol_0.0001_p_100_l1_0.1,0.1637513850000687,0.0003596569634660555,1154,regain,1e-05,0.0001,100,0.1,regain
regain_tol_1e-05_rtol_1e-05_p_100_l1_0.5,0.17252476450084941,5.6280770324037146e-05,1920,regain,1e-05,1e-05,100,0.5,regain
regain_tol_1e-05_rtol_1e-05_p_100_l1_0.1,0.18438760050048586,0.00022709804070563327,1160,regain,1e-05,1e-05,100,0.1,regain
regain_tol_1e-05_rtol_0.0001_p_100_l1_0.5,0.18458213199937745,9.516357349019223e-05,1920,regain,1e-05,0.0001,100,0.5,regain
regain_tol_1e-06_rtol_1e-05_p_100_l1_0.05,0.19593636949957727,3.434699098252138e-05,984,regain,1e-06,1e-05,100,0.05,regain
regain_tol_1e-06_rtol_0.0001_p_100_l1_0.5,0.2023634030001631,5.070871745141821e-05,1920,regain,1e-06,0.0001,100,0.5,regain
regain_tol_1e-06_rtol_1e-05_p_100_l1_0.5,0.23104877500099974,9.759004013322502e-06,1920,regain,1e-06,1e-05,100,0.5,regain
regain_tol_1e-06_rtol_1e-05_p_100_l1_0.1,0.30215578749994165,5.043872120454876e-05,1162,regain,1e-06,1e-05,100,0.1,regain
regain_tol_0.0001_rtol_0.001_p_500_l1_0.05,0.5675249239993718,0.005412174633718327,992,regain,0.0001,0.001,500,0.05,regain
regain_tol_0.0001_rtol_0.0001_p_500_l1_0.05,0.6099310954996326,0.004034900343435761,992,regain,0.0001,0.0001,500,0.05,regain
regain_tol_0.0001_rtol_0.0001_p_500_l1_0.5,0.6654012999997576,0.0004135554171347788,1920,regain,0.0001,0.0001,500,0.5,regain
regain_tol_1e-05_rtol_0.001_p_500_l1_0.5,0.6971838774998105,0.0003582063552944042,3946,regain,1e-05,0.001,500,0.5,regain
regain_tol_0.0001_rtol_0.001_p_500_l1_0.5,0.6989244480000707,0.00048154535345920293,1920,regain,0.0001,0.001,500,0.5,regain
regain_tol_0.0001_rtol_0.001_p_500_l1_0.1,0.7749112904994035,0.0015400810735903194,1164,regain,0.0001,0.001,500,0.1,regain
regain_tol_1e-05_rtol_0.001_p_500_l1_0.05,0.7918528659993171,0.0017795650245014886,1078,regain,1e-05,0.001,500,0.05,regain
regain_tol_0.0001_rtol_0.0001_p_500_l1_0.1,0.8099791160002496,0.0010321427329708418,1164,regain,0.0001,0.0001,500,0.1,regain
regain_tol_0.0001_rtol_1e-05_p_500_l1_0.1,0.9636184800001502,0.0008100605413392022,1164,regain,0.0001,1e-05,500,0.1,regain
regain_tol_1e-06_rtol_0.001_p_500_l1_0.05,0.9857768925003256,0.0013923613371476537,1334,regain,1e-06,0.001,500,0.05,regain
regain_tol_1e-05_rtol_0.0001_p_500_l1_0.5,1.0943874345002769,0.00020879557181242148,3946,regain,1e-05,0.0001,500,0.5,regain
regain_tol_1e-05_rtol_0.001_p_500_l1_0.1,1.1102362629999334,0.00046494044185736944,1910,regain,1e-05,0.001,500,0.1,regain
regain_tol_1e-06_rtol_0.0001_p_500_l1_0.5,1.21017912500065,0.00014133680118494019,3880,regain,1e-06,0.0001,500,0.5,regain
regain_tol_1e-05_rtol_0.0001_p_500_l1_0.05,1.2680186119996506,0.0003518845175737203,1078,regain,1e-05,0.0001,500,0.05,regain
regain_tol_1e-05_rtol_1e-05_p_500_l1_0.5,1.287772116499582,0.00018316810663481534,3946,regain,1e-05,1e-05,500,0.5,regain
regain_tol_1e-06_rtol_0.001_p_500_l1_0.1,1.3365860005005743,0.00040802559772333297,1906,regain,1e-06,0.001,500,0.1,regain
regain_tol_1e-05_rtol_1e-05_p_500_l1_0.05,1.3559900105001361,0.0002603936715733906,1078,regain,1e-05,1e-05,500,0.05,regain
regain_tol_1e-06_rtol_0.0001_p_500_l1_0.05,1.523884862000159,0.00015206564293421612,1334,regain,1e-06,0.0001,500,0.05,regain
regain_tol_1e-05_rtol_0.0001_p_500_l1_0.1,1.5451308085002893,0.00011811310350372744,1910,regain,1e-05,0.0001,500,0.1,regain
regain_tol_1e-06_rtol_1e-05_p_500_l1_0.5,1.6883426935000898,2.7544097337589224e-05,3880,regain,1e-06,1e-05,500,0.5,regain
regain_tol_1e-05_rtol_1e-05_p_500_l1_0.1,1.8817827255006705,8.887524474767591e-05,1910,regain,1e-05,1e-05,500,0.1,regain
regain_tol_1e-06_rtol_0.0001_p_500_l1_0.1,2.0417653015001633,5.602812772619773e-05,1906,regain,1e-06,0.0001,500,0.1,regain
regain_tol_1e-06_rtol_1e-05_p_500_l1_0.1,3.001105082500544,1.827915871166944e-05,1906,regain,1e-06,1e-05,500,0.1,regain
regain_tol_1e-06_rtol_1e-05_p_500_l1_0.05,3.014216653499716,3.963538275418801e-05,1334,regain,1e-06,1e-05,500,0.05,regain
regain_tol_0.0001_rtol_1e-05_p_1000_l1_0.5,3.8230601740006023,0.005711110689464952,3880,regain,0.0001,1e-05,1000,0.5,regain
regain_tol_0.0001_rtol_0.001_p_1000_l1_0.05,4.087604138500865,0.007619416954100895,1460,regain,0.0001,0.001,1000,0.05,regain
regain_tol_0.0001_rtol_1e-05_p_1000_l1_0.1,4.282825325999511,0.004868578171647305,1906,regain,0.0001,1e-05,1000,0.1,regain
regain_tol_0.0001_rtol_0.001_p_1000_l1_0.1,4.450137635999454,0.006207206665642636,1906,regain,0.0001,0.001,1000,0.1,regain
regain_tol_0.0001_rtol_0.0001_p_1000_l1_0.05,4.549824142000034,0.006155418364319068,1460,regain,0.0001,0.0001,1000,0.05,regain
regain_tol_1e-05_rtol_0.001_p_1000_l1_0.5,5.6577817664992835,0.001317113307664681,3880,regain,1e-05,0.001,1000,0.5,regain
regain_tol_1e-06_rtol_0.001_p_1000_l1_0.1,5.8906308154992075,0.0007146738789541678,1908,regain,1e-06,0.001,1000,0.1,regain
regain_tol_1e-06_rtol_0.001_p_1000_l1_0.5,5.944005373999062,0.0008115273842772614,3880,regain,1e-06,0.001,1000,0.5,regain
regain_tol_1e-05_rtol_0.001_p_1000_l1_0.1,5.955370088999189,0.0011489206786823717,1908,regain,1e-05,0.001,1000,0.1,regain
regain_tol_1e-05_rtol_0.001_p_1000_l1_0.05,6.142352054500407,0.0014116036480502775,1140,regain,1e-05,0.001,1000,0.05,regain
regain_tol_1e-06_rtol_0.001_p_1000_l1_0.05,6.416884348999702,0.0009318802270452756,1422,regain,1e-06,0.001,1000,0.05,regain
regain_tol_1e-05_rtol_1e-05_p_1000_l1_0.1,6.416897236000295,0.0005615568818752373,1908,regain,1e-05,1e-05,1000,0.1,regain
regain_tol_1e-05_rtol_1e-05_p_1000_l1_0.5,6.793202927999118,0.0006374991897472711,3880,regain,1e-05,1e-05,1000,0.5,regain
regain_tol_1e-06_rtol_0.0001_p_1000_l1_0.5,7.341276764500435,0.00015132541674582023,3880,regain,1e-06,0.0001,1000,0.5,regain
regain_tol_1e-05_rtol_1e-05_p_1000_l1_0.05,8.336871967499064,0.000616440646627934,1140,regain,1e-05,1e-05,1000,0.05,regain
regain_tol_1e-06_rtol_0.0001_p_1000_l1_0.1,8.43340751749929,0.00013495644153765137,1908,regain,1e-06,0.0001,1000,0.1,regain
regain_tol_1e-05_rtol_0.0001_p_1000_l1_0.05,8.524350047500775,0.0007577286675471348,1140,regain,1e-05,0.0001,1000,0.05,regain
regain_tol_1e-06_rtol_1e-05_p_1000_l1_0.1,10.704564350500732,6.657878189554012e-05,1908,regain,1e-06,1e-05,1000,0.1,regain
regain_tol_1e-06_rtol_1e-05_p_1000_l1_0.5,10.904000551000536,5.8538188678204985e-05,3880,regain,1e-06,1e-05,1000,0.5,regain
regain_tol_1e-06_rtol_0.0001_p_1000_l1_0.05,11.359207259500181,0.00014749292118613387,1422,regain,1e-06,0.0001,1000,0.05,regain
regain_tol_1e-06_rtol_1e-05_p_1000_l1_0.05,11.507869736499742,8.072790938800525e-05,1422,regain,1e-06,1e-05,1000,0.05,regain
regain_tol_0.0001_rtol_1e-05_p_2000_l1_0.1,19.339932517001216,0.007701545821470672,1908,regain,0.0001,1e-05,2000,0.1,regain
regain_tol_0.0001_rtol_0.001_p_2000_l1_0.5,20.379542269000922,0.008448512576500141,3880,regain,0.0001,0.001,2000,0.5,regain
regain_tol_0.0001_rtol_1e-05_p_2000_l1_0.5,20.414662649001002,0.006316886671823644,3880,regain,0.0001,1e-05,2000,0.5,regain
regain_tol_0.0001_rtol_1e-05_p_2000_l1_0.05,22.318822893000288,0.007829965261633385,1492,regain,0.0001,1e-05,2000,0.05,regain
regain_tol_0.0001_rtol_0.001_p_2000_l1_0.05,25.234873911999784,0.009928677639814702,1492,regain,0.0001,0.001,2000,0.05,regain
regain_tol_1e-05_rtol_0.001_p_2000_l1_0.5,27.27653850799925,0.001495877941493861,3880,regain,1e-05,0.001,2000,0.5,regain
regain_tol_1e-05_rtol_0.001_p_2000_l1_0.1,28.047749010999723,0.0014711846966188476,1906,regain,1e-05,0.001,2000,0.1,regain
regain_tol_1e-06_rtol_0.001_p_2000_l1_0.5,29.947561661999316,0.0008447560277605497,3880,regain,1e-06,0.001,2000,0.5,regain
regain_tol_1e-06_rtol_0.001_p_2000_l1_0.1,30.83504980900034,0.0008510409870659094,1906,regain,1e-06,0.001,2000,0.1,regain
regain_tol_1e-05_rtol_1e-05_p_2000_l1_0.5,31.662220102500214,0.0006353656510803554,3880,regain,1e-05,1e-05,2000,0.5,regain
regain_tol_1e-05_rtol_0.001_p_2000_l1_0.05,31.86888769199959,0.0019231580390063647,1302,regain,1e-05,0.001,2000,0.05,regain
regain_tol_1e-05_rtol_1e-05_p_2000_l1_0.1,32.47638826900038,0.0006478486944825755,1906,regain,1e-05,1e-05,2000,0.1,regain
regain_tol_1e-06_rtol_0.001_p_2000_l1_0.05,36.011634111500825,0.0009644091006678441,1436,regain,1e-06,0.001,2000,0.05,regain
regain_tol_1e-06_rtol_0.0001_p_2000_l1_0.5,38.92981615099961,0.00015413087394345844,3880,regain,1e-06,0.0001,2000,0.5,regain
regain_tol_1e-06_rtol_0.0001_p_2000_l1_0.1,41.14813406550002,0.00016634881114187093,1906,regain,1e-06,0.0001,2000,0.1,regain
regain_tol_1e-06_rtol_1e-05_p_2000_l1_0.5,46.278799789000004,6.627260090795702e-05,3880,regain,1e-06,1e-05,2000,0.5,regain
regain_tol_1e-06_rtol_0.0001_p_2000_l1_0.05,50.26221400400118,0.00020493795658817315,1460,regain,1e-06,0.0001,2000,0.05,regain
regain_tol_1e-06_rtol_1e-05_p_2000_l1_0.1,55.6712514055007,1.4808979605246516e-05,1906,regain,1e-06,1e-05,2000,0.1,regain
regain_tol_1e-06_rtol_1e-05_p_2000_l1_0.05,63.33180738399915,7.458803772401074e-05,1460,regain,1e-06,1e-05,2000,0.05,regain
68block-boyd_tol_1e-06_rtol_1e-05_p_100_l1_0.5,0.06721848100005445,1.3262123656791086e-05,140,68block-boyd,1e-06,1e-05,100,0.5,block-boyd
68block-boyd_tol_1e-06_rtol_1e-07_p_100_l1_0.5,0.06853498400005265,1.1237256750936195e-05,140,68block-boyd,1e-06,1e-07,100,0.5,block-boyd
68block-boyd_tol_1e-06_rtol_1e-06_p_100_l1_0.5,0.06905507250030496,1.1547108564678963e-05,140,68block-boyd,1e-06,1e-06,100,0.5,block-boyd
68block-boyd_tol_1e-08_rtol_1e-05_p_100_l1_0.5,0.08131931999969311,2.244415116267056e-06,140,68block-boyd,1e-08,1e-05,100,0.5,block-boyd
68block-boyd_tol_1e-07_rtol_1e-05_p_100_l1_0.5,0.08689748650022011,3.1280515330211123e-06,140,68block-boyd,1e-07,1e-05,100,0.5,block-boyd
68block-boyd_tol_1e-07_rtol_1e-07_p_100_l1_0.5,0.08998050650006917,1.0220747989555355e-06,140,68block-boyd,1e-07,1e-07,100,0.5,block-boyd
68block-boyd_tol_1e-08_rtol_1e-06_p_100_l1_0.5,0.09656480849980653,2.9021909392650286e-07,140,68block-boyd,1e-08,1e-06,100,0.5,block-boyd
68block-boyd_tol_1e-07_rtol_1e-06_p_100_l1_0.5,0.10390312199979235,1.201163074624631e-06,140,68block-boyd,1e-07,1e-06,100,0.5,block-boyd
68block-boyd_tol_1e-08_rtol_1e-07_p_100_l1_0.5,0.10475447299995722,1.1057573723418049e-07,140,68block-boyd,1e-08,1e-07,100,0.5,block-boyd
456block-boyd_tol_1e-06_rtol_1e-07_p_500_l1_0.5,0.04841612950031049,3.410348343578499e-06,892,456block-boyd,1e-06,1e-07,500,0.5,block-boyd
456block-boyd_tol_1e-07_rtol_1e-07_p_500_l1_0.5,0.05151486849990761,2.8130255799778323e-07,892,456block-boyd,1e-07,1e-07,500,0.5,block-boyd
456block-boyd_tol_1e-08_rtol_1e-07_p_500_l1_0.5,0.053187332000106835,5.5863371623615055e-08,892,456block-boyd,1e-08,1e-07,500,0.5,block-boyd
456block-boyd_tol_1e-07_rtol_1e-05_p_500_l1_0.5,0.054835404499954166,1.805966449019792e-06,892,456block-boyd,1e-07,1e-05,500,0.5,block-boyd
456block-boyd_tol_1e-08_rtol_1e-06_p_500_l1_0.5,0.05590212249990145,1.594650519758728e-07,892,456block-boyd,1e-08,1e-06,500,0.5,block-boyd
456block-boyd_tol_1e-06_rtol_1e-06_p_500_l1_0.5,0.05630682400033038,3.411450224558486e-06,892,456block-boyd,1e-06,1e-06,500,0.5,block-boyd
456block-boyd_tol_1e-07_rtol_1e-06_p_500_l1_0.5,0.05811430250014382,4.537331748507585e-07,892,456block-boyd,1e-07,1e-06,500,0.5,block-boyd
456block-boyd_tol_1e-08_rtol_1e-05_p_500_l1_0.5,0.06092506699997102,1.7536838330954813e-06,892,456block-boyd,1e-08,1e-05,500,0.5,block-boyd
456block-boyd_tol_1e-06_rtol_1e-05_p_500_l1_0.5,0.07556734399986453,4.061906872747098e-06,140,456block-boyd,1e-06,1e-05,500,0.5,block-boyd
1block-boyd_tol_1e-06_rtol_1e-05_p_100_l1_0.05,0.04645453050034121,0.0012242837679569982,4488,1block-boyd,1e-06,1e-05,100,0.05,block-boyd
1block-boyd_tol_1e-06_rtol_1e-06_p_100_l1_0.1,0.05844059249966449,0.0008154324930187247,1940,1block-boyd,1e-06,1e-06,100,0.1,block-boyd
1block-boyd_tol_1e-07_rtol_1e-06_p_100_l1_0.05,0.05857191299992337,0.00013166883901423915,4488,1block-boyd,1e-07,1e-06,100,0.05,block-boyd
1block-boyd_tol_1e-07_rtol_1e-05_p_100_l1_0.05,0.0654394645002867,0.00016076733483414725,4488,1block-boyd,1e-07,1e-05,100,0.05,block-boyd
1block-boyd_tol_1e-08_rtol_1e-05_p_100_l1_0.05,0.09753850600009173,2.613512975931291e-05,4488,1block-boyd,1e-08,1e-05,100,0.05,block-boyd
1block-boyd_tol_1e-08_rtol_1e-06_p_100_l1_0.05,0.11638224149965026,8.750347102476804e-06,4488,1block-boyd,1e-08,1e-06,100,0.05,block-boyd
1block-boyd_tol_1e-08_rtol_1e-07_p_100_l1_0.05,0.13258783100036453,7.218061784359672e-06,4488,1block-boyd,1e-08,1e-07,100,0.05,block-boyd
1block-boyd_tol_1e-07_rtol_1e-06_p_100_l1_0.1,0.13425239599973793,0.00011146859162120855,1944,1block-boyd,1e-07,1e-06,100,0.1,block-boyd
1block-boyd_tol_1e-08_rtol_1e-05_p_100_l1_0.1,0.19962504849991092,3.659944694320172e-05,1944,1block-boyd,1e-08,1e-05,100,0.1,block-boyd
1block-boyd_tol_1e-07_rtol_1e-05_p_100_l1_0.1,0.20468859250013338,0.0001329096911966073,1944,1block-boyd,1e-07,1e-05,100,0.1,block-boyd
1block-boyd_tol_1e-08_rtol_1e-06_p_100_l1_0.1,0.24695286200039845,1.4406836018514811e-05,1944,1block-boyd,1e-08,1e-06,100,0.1,block-boyd
