,time,accuracy,hamming,method,tol,rtol,p,N,l1
sklearn_tol_0.01_enet_0.01_p_100_N_110_l1_0.05,0.049795878500390245,0.001625083303173526,5114,sklearn,0.01,0.01,100,110,0.05
sklearn_tol_0.1_enet_0.1_p_100_N_110_l1_0.05,0.06486028699964663,0.003312514569622309,5120,sklearn,0.1,0.1,100,110,0.05
block-boyd_tol_5e-06_rtol_5e-06_p_100_N_110_l1_0.1,0.02456736349995481,0.004248373668474977,2866,block-boyd,5e-06,5e-06,100,110,0.1
block-boyd_tol_1e-06_rtol_1e-06_p_100_N_110_l1_0.1,0.030394961499496276,0.0007840651233651477,2876,block-boyd,1e-06,1e-06,100,110,0.1
block-boyd_tol_1e-07_rtol_1e-07_p_100_N_110_l1_0.1,0.05116204749992903,5.542908026168938e-05,2882,block-boyd,1e-07,1e-07,100,110,0.1
block-boyd_tol_5e-08_rtol_5e-08_p_100_N_110_l1_0.1,0.05725157899996702,2.7097626860303918e-05,2882,block-boyd,5e-08,5e-08,100,110,0.1
regain_tol_0.0001_rtol_0.0001_p_100_N_110_l1_0.1,0.01888614300014524,0.0017727515113116425,2876,regain,0.0001,0.0001,100,110,0.1
regain_tol_5e-06_rtol_5e-06_p_100_N_110_l1_0.1,0.034598964500219154,5.5429080261838206e-05,2882,regain,5e-06,5e-06,100,110,0.1
regain_tol_1e-05_rtol_1e-05_p_100_N_110_l1_0.1,0.038999228999728075,0.00012118459802774871,2882,regain,1e-05,1e-05,100,110,0.1
regain_tol_1e-06_rtol_1e-06_p_100_N_110_l1_0.1,0.04330823950067497,1.168549566570848e-05,2882,regain,1e-06,1e-06,100,110,0.1
single-boyd_tol_5e-06_rtol_5e-06_p_100_N_110_l1_0.1,0.02437031899989961,0.004248373668474977,2866,single-boyd,5e-06,5e-06,100,110,0.1
single-boyd_tol_1e-06_rtol_1e-06_p_100_N_110_l1_0.1,0.03454085449993727,0.0007840651233651477,2876,single-boyd,1e-06,1e-06,100,110,0.1
single-boyd_tol_1e-07_rtol_1e-07_p_100_N_110_l1_0.1,0.044331656499707606,5.542908026168938e-05,2882,single-boyd,1e-07,1e-07,100,110,0.1
single-boyd_tol_5e-08_rtol_5e-08_p_100_N_110_l1_0.1,0.04983484500007762,2.7097626860303918e-05,2882,single-boyd,5e-08,5e-08,100,110,0.1
sklearn_tol_0.1_enet_0.1_p_100_N_110_l1_0.1,0.031072892999873147,0.0068562849094435325,2880,sklearn,0.1,0.1,100,110,0.1
sklearn_tol_0.01_enet_0.01_p_100_N_110_l1_0.1,0.04459608750039479,0.00041013144308370487,2882,sklearn,0.01,0.01,100,110,0.1
block-boyd_tol_5e-06_rtol_5e-06_p_100_N_110_l1_0.5,0.04854146050001873,5.733073287901705e-06,140,block-boyd,5e-06,5e-06,100,110,0.5
block-boyd_tol_1e-06_rtol_1e-06_p_100_N_110_l1_0.5,0.052859188000184076,1.1803843410580984e-06,140,block-boyd,1e-06,1e-06,100,110,0.5
block-boyd_tol_1e-07_rtol_1e-07_p_100_N_110_l1_0.5,0.061884337500032416,1.0795120972120058e-07,140,block-boyd,1e-07,1e-07,100,110,0.5
block-boyd_tol_5e-08_rtol_5e-08_p_100_N_110_l1_0.5,0.06473726399963198,4.8458656571063644e-08,140,block-boyd,5e-08,5e-08,100,110,0.5
regain_tol_0.0001_rtol_0.0001_p_100_N_110_l1_0.5,0.029427582500375138,8.80245997386318e-05,140,regain,0.0001,0.0001,100,110,0.5
regain_tol_1e-05_rtol_1e-05_p_100_N_110_l1_0.5,0.03401040049993753,2.8887190101073358e-05,140,regain,1e-05,1e-05,100,110,0.5
regain_tol_5e-06_rtol_5e-06_p_100_N_110_l1_0.5,0.03566814650002925,2.4465327986792992e-05,140,regain,5e-06,5e-06,100,110,0.5
regain_tol_1e-06_rtol_1e-06_p_100_N_110_l1_0.5,0.03723780149994127,1.0828942969167255e-05,140,regain,1e-06,1e-06,100,110,0.5
single-boyd_tol_5e-06_rtol_5e-06_p_100_N_110_l1_0.5,0.03019201899996915,0.00013256719460633923,140,single-boyd,5e-06,5e-06,100,110,0.5
single-boyd_tol_1e-06_rtol_1e-06_p_100_N_110_l1_0.5,0.04539288750038395,6.08175392212283e-06,140,single-boyd,1e-06,1e-06,100,110,0.5
single-boyd_tol_1e-07_rtol_1e-07_p_100_N_110_l1_0.5,0.07140362149993962,7.789425834300875e-08,140,single-boyd,1e-07,1e-07,100,110,0.5
single-boyd_tol_5e-08_rtol_5e-08_p_100_N_110_l1_0.5,0.08209058150032433,1.7552069007296967e-08,140,single-boyd,5e-08,5e-08,100,110,0.5
sklearn_tol_0.1_enet_0.1_p_100_N_110_l1_0.5,0.028340387000298506,3.5651256325705095e-05,140,sklearn,0.1,0.1,100,110,0.5
sklearn_tol_0.01_enet_0.01_p_100_N_110_l1_0.5,0.03218595250018552,1.710739674683678e-05,140,sklearn,0.01,0.01,100,110,0.5
block-boyd_tol_5e-06_rtol_5e-06_p_500_N_550_l1_0.05,0.22309021250021033,0.032543538382626004,40250,block-boyd,5e-06,5e-06,500,550,0.05
block-boyd_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.05,0.3499458445003256,0.009072870514909242,41050,block-boyd,1e-06,1e-06,500,550,0.05
block-boyd_tol_1e-07_rtol_1e-07_p_500_N_550_l1_0.05,0.5558430080000107,0.0009504604589490131,41162,block-boyd,1e-07,1e-07,500,550,0.05
block-boyd_tol_5e-08_rtol_5e-08_p_500_N_550_l1_0.05,0.6468466050000643,0.0003859132192067703,41180,block-boyd,5e-08,5e-08,500,550,0.05
regain_tol_0.0001_rtol_0.0001_p_500_N_550_l1_0.05,0.5135622739999235,0.0036893752563025304,41100,regain,0.0001,0.0001,500,550,0.05
regain_tol_1e-05_rtol_1e-05_p_500_N_550_l1_0.05,0.8974773239997376,0.0003170797788132998,41186,regain,1e-05,1e-05,500,550,0.05
regain_tol_5e-06_rtol_5e-06_p_500_N_550_l1_0.05,1.0035761360004471,0.00015552811356145973,41188,regain,5e-06,5e-06,500,550,0.05
regain_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.05,1.4284962619999533,3.0306709029219632e-05,41192,regain,1e-06,1e-06,500,550,0.05
single-boyd_tol_5e-06_rtol_5e-06_p_500_N_550_l1_0.05,0.2339753770002062,0.032543538382626004,40250,single-boyd,5e-06,5e-06,500,550,0.05
single-boyd_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.05,0.3583512284999415,0.009072870514909242,41050,single-boyd,1e-06,1e-06,500,550,0.05
single-boyd_tol_1e-07_rtol_1e-07_p_500_N_550_l1_0.05,0.5592806884997117,0.0009504604589490131,41162,single-boyd,1e-07,1e-07,500,550,0.05
single-boyd_tol_5e-08_rtol_5e-08_p_500_N_550_l1_0.05,0.7321632969997154,0.0003859132192067703,41180,single-boyd,5e-08,5e-08,500,550,0.05
sklearn_tol_0.01_enet_0.01_p_500_N_550_l1_0.05,0.6101178325002365,0.00035017830083900554,41176,sklearn,0.01,0.01,500,550,0.05
sklearn_tol_0.1_enet_0.1_p_500_N_550_l1_0.05,1.5442586194999421,0.0005691549934825048,41188,sklearn,0.1,0.1,500,550,0.05
block-boyd_tol_5e-06_rtol_5e-06_p_500_N_550_l1_0.1,0.21793502750006155,0.017368111916218034,2450,block-boyd,5e-06,5e-06,500,550,0.1
block-boyd_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.1,0.40232313900060035,0.003511640988632923,3300,block-boyd,1e-06,1e-06,500,550,0.1
block-boyd_tol_1e-07_rtol_1e-07_p_500_N_550_l1_0.1,0.9062766349998128,0.0004289208487137442,3696,block-boyd,1e-07,1e-07,500,550,0.1
block-boyd_tol_5e-08_rtol_5e-08_p_500_N_550_l1_0.1,1.0851353455000208,0.0002710012078925609,3718,block-boyd,5e-08,5e-08,500,550,0.1
regain_tol_0.0001_rtol_0.0001_p_500_N_550_l1_0.1,0.48369271750016196,0.0014781144112310878,3534,regain,0.0001,0.0001,500,550,0.1
regain_tol_1e-05_rtol_1e-05_p_500_N_550_l1_0.1,1.4614388770000915,0.00025170791993395697,3720,regain,1e-05,1e-05,500,550,0.1
regain_tol_5e-06_rtol_5e-06_p_500_N_550_l1_0.1,1.5895775879998837,0.00014300526273427122,3730,regain,5e-06,5e-06,500,550,0.1
regain_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.1,2.084401641999648,4.009962288640407e-05,3732,regain,1e-06,1e-06,500,550,0.1
single-boyd_tol_5e-06_rtol_5e-06_p_500_N_550_l1_0.1,0.2322036855002807,0.0173662783825021,2450,single-boyd,5e-06,5e-06,500,550,0.1
single-boyd_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.1,0.4037233669996567,0.003510759307682557,3300,single-boyd,1e-06,1e-06,500,550,0.1
single-boyd_tol_1e-07_rtol_1e-07_p_500_N_550_l1_0.1,1.0160480375002408,0.0004284438105376746,3696,single-boyd,1e-07,1e-07,500,550,0.1
single-boyd_tol_5e-08_rtol_5e-08_p_500_N_550_l1_0.1,1.112686009999834,0.0002707961041233807,3718,single-boyd,5e-08,5e-08,500,550,0.1
sklearn_tol_0.1_enet_0.1_p_500_N_550_l1_0.1,0.41307754999979807,0.0009958465887628589,3738,sklearn,0.1,0.1,500,550,0.1
sklearn_tol_0.01_enet_0.01_p_500_N_550_l1_0.1,1.1741808505003064,4.829067714393562e-05,3732,sklearn,0.01,0.01,500,550,0.1
block-boyd_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.5,0.06317818649995388,2.6275480485074334e-06,848,block-boyd,1e-06,1e-06,500,550,0.5
block-boyd_tol_5e-06_rtol_5e-06_p_500_N_550_l1_0.5,0.065194849999898,1.584493403682317e-05,848,block-boyd,5e-06,5e-06,500,550,0.5
block-boyd_tol_5e-08_rtol_5e-08_p_500_N_550_l1_0.5,0.08056370099984633,1.7032928254053993e-07,848,block-boyd,5e-08,5e-08,500,550,0.5
block-boyd_tol_1e-07_rtol_1e-07_p_500_N_550_l1_0.5,0.09472521850011617,5.44105643599915e-07,848,block-boyd,1e-07,1e-07,500,550,0.5
regain_tol_0.0001_rtol_0.0001_p_500_N_550_l1_0.5,0.334283862000575,0.00040488313071987474,848,regain,0.0001,0.0001,500,550,0.5
regain_tol_1e-05_rtol_1e-05_p_500_N_550_l1_0.5,1.0164385919997585,5.3543217309370184e-05,848,regain,1e-05,1e-05,500,550,0.5
regain_tol_5e-06_rtol_5e-06_p_500_N_550_l1_0.5,1.2327320320005128,2.1337994782368136e-05,848,regain,5e-06,5e-06,500,550,0.5
regain_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.5,1.6121474680003303,5.783894195751839e-06,848,regain,1e-06,1e-06,500,550,0.5
single-boyd_tol_5e-06_rtol_5e-06_p_500_N_550_l1_0.5,0.20600346000037462,0.01294393136127736,854,single-boyd,5e-06,5e-06,500,550,0.5
single-boyd_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.5,0.44641586849957093,0.00033394962031436015,848,single-boyd,1e-06,1e-06,500,550,0.5
single-boyd_tol_1e-07_rtol_1e-07_p_500_N_550_l1_0.5,1.3635025570001744,1.567042796607272e-05,848,single-boyd,1e-07,1e-07,500,550,0.5
single-boyd_tol_5e-08_rtol_5e-08_p_500_N_550_l1_0.5,1.8200121525001123,4.651095425811072e-06,848,single-boyd,5e-08,5e-08,500,550,0.5
sklearn_tol_0.01_enet_0.01_p_500_N_550_l1_0.5,0.28359737100026905,1.4458942324362695e-05,848,sklearn,0.01,0.01,500,550,0.5
sklearn_tol_0.1_enet_0.1_p_500_N_550_l1_0.5,0.2886671420001221,0.00014861783138268639,848,sklearn,0.1,0.1,500,550,0.5
block-boyd_tol_5e-06_rtol_5e-06_p_1000_N_1100_l1_0.05,0.8894463084993731,0.09696162805963644,12636,block-boyd,5e-06,5e-06,1000,1100,0.05
block-boyd_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.05,1.314778239000134,0.03081175744800436,16386,block-boyd,1e-06,1e-06,1000,1100,0.05
block-boyd_tol_1e-07_rtol_1e-07_p_1000_N_1100_l1_0.05,2.677515855499678,0.0028175841585759698,16690,block-boyd,1e-07,1e-07,1000,1100,0.05
block-boyd_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.05,2.999982991000252,0.001686775708491223,16696,block-boyd,5e-08,5e-08,1000,1100,0.05
regain_tol_0.0001_rtol_0.0001_p_1000_N_1100_l1_0.05,2.864447691499663,0.006147713065298389,16670,regain,0.0001,0.0001,1000,1100,0.05
regain_tol_1e-05_rtol_1e-05_p_1000_N_1100_l1_0.05,4.66163516450024,0.0006192371121379068,16720,regain,1e-05,1e-05,1000,1100,0.05
regain_tol_5e-06_rtol_5e-06_p_1000_N_1100_l1_0.05,5.456001301500237,0.00023793172032720946,16740,regain,5e-06,5e-06,1000,1100,0.05
regain_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.05,8.076389091999772,2.422706980315947e-05,16754,regain,1e-06,1e-06,1000,1100,0.05
single-boyd_tol_5e-06_rtol_5e-06_p_1000_N_1100_l1_0.05,0.7239820215004329,0.09696162805963644,12636,single-boyd,5e-06,5e-06,1000,1100,0.05
single-boyd_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.05,1.4093826449998232,0.03081175744800436,16386,single-boyd,1e-06,1e-06,1000,1100,0.05
single-boyd_tol_1e-07_rtol_1e-07_p_1000_N_1100_l1_0.05,2.8893633944999237,0.0028175841585759698,16690,single-boyd,1e-07,1e-07,1000,1100,0.05
single-boyd_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.05,3.1387911075003103,0.001686775708491223,16696,single-boyd,5e-08,5e-08,1000,1100,0.05
sklearn_tol_0.1_enet_0.1_p_1000_N_1100_l1_0.05,1.4968348150000566,0.0010630600012715948,16738,sklearn,0.1,0.1,1000,1100,0.05
sklearn_tol_0.01_enet_0.01_p_1000_N_1100_l1_0.05,8.009148078999715,7.241925213983088e-05,16756,sklearn,0.01,0.01,1000,1100,0.05
block-boyd_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.1,0.8906251694997991,0.001826557455390761,774,block-boyd,1e-06,1e-06,1000,1100,0.1
block-boyd_tol_5e-06_rtol_5e-06_p_1000_N_1100_l1_0.1,0.9731798660000095,0.011708780024766314,718,block-boyd,5e-06,5e-06,1000,1100,0.1
block-boyd_tol_1e-07_rtol_1e-07_p_1000_N_1100_l1_0.1,0.9978575310001361,3.603630405907218e-05,834,block-boyd,1e-07,1e-07,1000,1100,0.1
block-boyd_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.1,1.1049991244999546,2.1331895192318412e-05,844,block-boyd,5e-08,5e-08,1000,1100,0.1
regain_tol_0.0001_rtol_0.0001_p_1000_N_1100_l1_0.1,2.4302972635000515,0.005315339059880609,754,regain,0.0001,0.0001,1000,1100,0.1
regain_tol_1e-05_rtol_1e-05_p_1000_N_1100_l1_0.1,5.622150119500475,5.883334878808191e-05,828,regain,1e-05,1e-05,1000,1100,0.1
regain_tol_5e-06_rtol_5e-06_p_1000_N_1100_l1_0.1,6.223844605499835,3.826656920654569e-05,834,regain,5e-06,5e-06,1000,1100,0.1
regain_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.1,7.9632422754998515,8.116097144789325e-06,848,regain,1e-06,1e-06,1000,1100,0.1
single-boyd_tol_5e-06_rtol_5e-06_p_1000_N_1100_l1_0.1,0.7082254375000048,0.07072778123236183,738,single-boyd,5e-06,5e-06,1000,1100,0.1
single-boyd_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.1,1.4295857025003897,0.018825517860609896,718,single-boyd,1e-06,1e-06,1000,1100,0.1
single-boyd_tol_1e-07_rtol_1e-07_p_1000_N_1100_l1_0.1,2.7873400255002707,0.0011468020980924876,806,single-boyd,1e-07,1e-07,1000,1100,0.1
single-boyd_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.1,3.486261620500045,0.00034479680214541386,816,single-boyd,5e-08,5e-08,1000,1100,0.1
sklearn_tol_0.1_enet_0.1_p_1000_N_1100_l1_0.1,6.710664114999872,0.0004665794101239248,848,sklearn,0.1,0.1,1000,1100,0.1
sklearn_tol_0.01_enet_0.01_p_1000_N_1100_l1_0.1,7.44765264849957,4.902265761417971e-05,848,sklearn,0.01,0.01,1000,1100,0.1
block-boyd_tol_1e-07_rtol_1e-07_p_1000_N_1100_l1_0.5,0.12082994750016951,2.69299275699191e-07,1940,block-boyd,1e-07,1e-07,1000,1100,0.5
block-boyd_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.5,0.12959147450010278,3.775731321569226e-06,1940,block-boyd,1e-06,1e-06,1000,1100,0.5
block-boyd_tol_5e-06_rtol_5e-06_p_1000_N_1100_l1_0.5,0.13016388600044593,7.114351633338413e-06,1940,block-boyd,5e-06,5e-06,1000,1100,0.5
block-boyd_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.5,0.151158460500028,2.69299275699191e-07,1940,block-boyd,5e-08,5e-08,1000,1100,0.5
regain_tol_0.0001_rtol_0.0001_p_1000_N_1100_l1_0.5,2.434393848000127,0.0030429067387556115,1940,regain,0.0001,0.0001,1000,1100,0.5
regain_tol_1e-05_rtol_1e-05_p_1000_N_1100_l1_0.5,5.065982229999918,5.75719577724324e-05,1940,regain,1e-05,1e-05,1000,1100,0.5
regain_tol_5e-06_rtol_5e-06_p_1000_N_1100_l1_0.5,5.457826520500021,4.0766509150721146e-05,1940,regain,5e-06,5e-06,1000,1100,0.5
regain_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.5,7.051743884000189,1.0454617778428731e-05,1940,regain,1e-06,1e-06,1000,1100,0.5
single-boyd_tol_5e-06_rtol_5e-06_p_1000_N_1100_l1_0.5,0.7013691470001504,0.05427780383978341,1980,single-boyd,5e-06,5e-06,1000,1100,0.5
single-boyd_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.5,1.19455763499991,0.017624597714966595,1940,single-boyd,1e-06,1e-06,1000,1100,0.5
single-boyd_tol_1e-07_rtol_1e-07_p_1000_N_1100_l1_0.5,2.778262399999676,0.0007961025233741976,1940,single-boyd,1e-07,1e-07,1000,1100,0.5
single-boyd_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.5,3.1762494229997174,0.0002143334331189215,1940,single-boyd,5e-08,5e-08,1000,1100,0.5
sklearn_tol_0.1_enet_0.1_p_1000_N_1100_l1_0.5,1.3968386120000105,0.0001575827974542479,1940,sklearn,0.1,0.1,1000,1100,0.5
sklearn_tol_0.01_enet_0.01_p_1000_N_1100_l1_0.5,1.4379166200001237,1.0510937861049383e-05,1940,sklearn,0.01,0.01,1000,1100,0.5
block-boyd_tol_5e-06_rtol_5e-06_p_2000_N_2200_l1_0.05,2.2229334845001176,0.13691434211839354,1418,block-boyd,5e-06,5e-06,2000,2200,0.05
block-boyd_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.05,4.300405057000262,0.030882271204310644,1980,block-boyd,1e-06,1e-06,2000,2200,0.05
block-boyd_tol_1e-07_rtol_1e-07_p_2000_N_2200_l1_0.05,7.5538513769997735,0.0036886129884135827,2252,block-boyd,1e-07,1e-07,2000,2200,0.05
block-boyd_tol_5e-08_rtol_5e-08_p_2000_N_2200_l1_0.05,8.703477373999704,0.0017432825917763667,2270,block-boyd,5e-08,5e-08,2000,2200,0.05
regain_tol_0.0001_rtol_0.0001_p_2000_N_2200_l1_0.05,24.04012731800003,0.008788360314826148,2198,regain,0.0001,0.0001,2000,2200,0.05
regain_tol_1e-05_rtol_1e-05_p_2000_N_2200_l1_0.05,34.05265663299997,0.0007934488793141434,2244,regain,1e-05,1e-05,2000,2200,0.05
regain_tol_5e-06_rtol_5e-06_p_2000_N_2200_l1_0.05,37.05853208250028,0.00040697551003074736,2250,regain,5e-06,5e-06,2000,2200,0.05
regain_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.05,56.121995707499536,3.5513125214724836e-05,2280,regain,1e-06,1e-06,2000,2200,0.05
single-boyd_tol_5e-06_rtol_5e-06_p_2000_N_2200_l1_0.05,4.0426269125000545,0.2179154998728469,1438,single-boyd,5e-06,5e-06,2000,2200,0.05
single-boyd_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.05,8.426533225499952,0.0885839161273123,1652,single-boyd,1e-06,1e-06,2000,2200,0.05
single-boyd_tol_1e-07_rtol_1e-07_p_2000_N_2200_l1_0.05,19.76831908699978,0.009998335251893106,2230,single-boyd,1e-07,1e-07,2000,2200,0.05
single-boyd_tol_5e-08_rtol_5e-08_p_2000_N_2200_l1_0.05,24.460619800499444,0.004695956916419422,2252,single-boyd,5e-08,5e-08,2000,2200,0.05
sklearn_tol_0.01_enet_0.01_p_2000_N_2200_l1_0.05,113.92947945200012,3.558161341085079e-05,2282,sklearn,0.01,0.01,2000,2200,0.05
sklearn_tol_0.1_enet_0.1_p_2000_N_2200_l1_0.05,114.29679966799995,0.00035539983875811413,2282,sklearn,0.1,0.1,2000,2200,0.05
block-boyd_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.1,1.2651893389997895,0.00012109183387871388,2964,block-boyd,1e-06,1e-06,2000,2200,0.1
block-boyd_tol_1e-07_rtol_1e-07_p_2000_N_2200_l1_0.1,1.499675622000268,4.790616278531763e-06,2966,block-boyd,1e-07,1e-07,2000,2200,0.1
block-boyd_tol_5e-08_rtol_5e-08_p_2000_N_2200_l1_0.1,1.5719272960000126,2.5321698502260347e-06,2966,block-boyd,5e-08,5e-08,2000,2200,0.1
block-boyd_tol_5e-06_rtol_5e-06_p_2000_N_2200_l1_0.1,1.5783560179997949,0.0006384707757658018,2964,block-boyd,5e-06,5e-06,2000,2200,0.1
regain_tol_0.0001_rtol_0.0001_p_2000_N_2200_l1_0.1,24.037894853000125,0.00918041056736229,2958,regain,0.0001,0.0001,2000,2200,0.1
regain_tol_1e-05_rtol_1e-05_p_2000_N_2200_l1_0.1,40.39245917049993,0.00094456658504465,2964,regain,1e-05,1e-05,2000,2200,0.1
regain_tol_5e-06_rtol_5e-06_p_2000_N_2200_l1_0.1,45.6349684769998,0.00041799259805378976,2964,regain,5e-06,5e-06,2000,2200,0.1
regain_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.1,57.11558147149981,6.815011856925803e-05,2964,regain,1e-06,1e-06,2000,2200,0.1
single-boyd_tol_5e-06_rtol_5e-06_p_2000_N_2200_l1_0.1,3.786495987500075,0.20547091989590205,3120,single-boyd,5e-06,5e-06,2000,2200,0.1
single-boyd_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.1,8.219636751500275,0.07923768180907026,2956,single-boyd,1e-06,1e-06,2000,2200,0.1
single-boyd_tol_1e-07_rtol_1e-07_p_2000_N_2200_l1_0.1,18.834657699999752,0.00918041056736207,2958,single-boyd,1e-07,1e-07,2000,2200,0.1
single-boyd_tol_5e-08_rtol_5e-08_p_2000_N_2200_l1_0.1,23.39712893349997,0.003989537487024452,2962,single-boyd,5e-08,5e-08,2000,2200,0.1
sklearn_tol_0.01_enet_0.01_p_2000_N_2200_l1_0.1,30.579385359999833,3.778305968953453e-05,2966,sklearn,0.01,0.01,2000,2200,0.1
sklearn_tol_0.1_enet_0.1_p_2000_N_2200_l1_0.1,116.31302390649944,0.0002383701006622913,2966,sklearn,0.1,0.1,2000,2200,0.1
block-boyd_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.5,0.21666591899975174,2.0281298980954646e-05,3874,block-boyd,1e-06,1e-06,2000,2200,0.5
block-boyd_tol_1e-07_rtol_1e-07_p_2000_N_2200_l1_0.5,0.2256370995000907,2.227051608111436e-06,3874,block-boyd,1e-07,1e-07,2000,2200,0.5
block-boyd_tol_5e-08_rtol_5e-08_p_2000_N_2200_l1_0.5,0.2274381620004533,1.2729895645586957e-06,3874,block-boyd,5e-08,5e-08,2000,2200,0.5
block-boyd_tol_5e-06_rtol_5e-06_p_2000_N_2200_l1_0.5,0.34327307600051427,0.00010640101920369368,3874,block-boyd,5e-06,5e-06,2000,2200,0.5
regain_tol_0.0001_rtol_0.0001_p_2000_N_2200_l1_0.5,22.15378670700011,0.008030418082006977,3876,regain,0.0001,0.0001,2000,2200,0.5
regain_tol_1e-05_rtol_1e-05_p_2000_N_2200_l1_0.5,29.997828579499583,0.0008272684815770551,3874,regain,1e-05,1e-05,2000,2200,0.5
regain_tol_5e-06_rtol_5e-06_p_2000_N_2200_l1_0.5,32.28923003999989,0.0003915140284469488,3874,regain,5e-06,5e-06,2000,2200,0.5
regain_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.5,50.01576573900002,9.925676319715849e-06,3874,regain,1e-06,1e-06,2000,2200,0.5
single-boyd_tol_5e-06_rtol_5e-06_p_2000_N_2200_l1_0.5,3.9068257219996667,0.20101009735361683,3980,single-boyd,5e-06,5e-06,2000,2200,0.5
single-boyd_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.5,8.547429535999527,0.0772318608215824,3904,single-boyd,1e-06,1e-06,2000,2200,0.5
single-boyd_tol_1e-07_rtol_1e-07_p_2000_N_2200_l1_0.5,18.670672209500026,0.008860040131797366,3874,single-boyd,1e-07,1e-07,2000,2200,0.5
single-boyd_tol_5e-08_rtol_5e-08_p_2000_N_2200_l1_0.5,22.39251994399956,0.004728827358900298,3874,single-boyd,5e-08,5e-08,2000,2200,0.5
sklearn_tol_0.01_enet_0.01_p_2000_N_2200_l1_0.5,13.799441721499988,1.5510277322412151e-06,3874,sklearn,0.01,0.01,2000,2200,0.5
sklearn_tol_0.1_enet_0.1_p_2000_N_2200_l1_0.5,14.291746036999939,1.1779936394099508e-05,3874,sklearn,0.1,0.1,2000,2200,0.5
