,time,accuracy,hamming,iter,method,tol,rtol,p,N,l1
sklearn_tol_0.1_enet_0.0001_p_500_N_550_l1_0.1,0.29468082249968575,8.06620051817713e-05,1512,2,sklearn,0.1,0.0001,500,550,0.1
sklearn_tol_0.01_enet_0.0001_p_500_N_550_l1_0.1,0.2966469220000363,8.06620051817713e-05,1512,2,sklearn,0.01,0.0001,500,550,0.1
gglasso_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.5,0.45471207050007934,0.0009548367425617444,944,12,gglasso,1e-06,1e-06,500,550,0.5
gglasso_tol_1e-07_rtol_1e-07_p_500_N_550_l1_0.5,1.0336741504999623,6.336386898033977e-06,944,27,gglasso,1e-07,1e-07,500,550,0.5
gglasso_tol_5e-08_rtol_5e-08_p_500_N_550_l1_0.5,1.3329977640000266,1.6057387760130644e-06,944,32,gglasso,5e-08,5e-08,500,550,0.5
gglasso_tol_1e-08_rtol_1e-08_p_500_N_550_l1_0.5,1.9921646395000039,8.694420346233136e-08,944,46,gglasso,1e-08,1e-08,500,550,0.5
gglasso-block_tol_1e-07_rtol_1e-07_p_500_N_550_l1_0.5,0.042451563000042825,1.3013775599969746e-07,944,0,gglasso-block,1e-07,1e-07,500,550,0.5
gglasso-block_tol_5e-08_rtol_5e-08_p_500_N_550_l1_0.5,0.04377385300000469,9.178683767839343e-08,944,0,gglasso-block,5e-08,5e-08,500,550,0.5
gglasso-block_tol_1e-08_rtol_1e-08_p_500_N_550_l1_0.5,0.04453255100003162,4.2027118640209135e-08,944,0,gglasso-block,1e-08,1e-08,500,550,0.5
gglasso-block_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.5,0.04472461099993552,3.0174446319392227e-06,944,0,gglasso-block,1e-06,1e-06,500,550,0.5
regain_tol_0.0001_rtol_0.0001_p_500_N_550_l1_0.5,0.6871295314995223,0.0004719378404799382,944,14,regain,0.0001,0.0001,500,550,0.5
regain_tol_1e-05_rtol_1e-05_p_500_N_550_l1_0.5,0.8925520639995739,0.000271181394710865,944,19,regain,1e-05,1e-05,500,550,0.5
regain_tol_5e-06_rtol_5e-06_p_500_N_550_l1_0.5,1.0644527934991856,0.0001963593205759665,944,22,regain,5e-06,5e-06,500,550,0.5
regain_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.5,1.5270735260010042,3.389168056503555e-05,944,33,regain,1e-06,1e-06,500,550,0.5
sklearn_tol_0.01_enet_0.0001_p_500_N_550_l1_0.5,0.2777908989992284,1.4029816684400578e-07,944,2,sklearn,0.01,0.0001,500,550,0.5
sklearn_tol_0.1_enet_0.0001_p_500_N_550_l1_0.5,0.38517746849993273,1.4029816684400578e-07,944,2,sklearn,0.1,0.0001,500,550,0.5
gglasso_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.05,1.9832021190000546,0.023391894010509912,17472,9,gglasso,1e-06,1e-06,1000,1100,0.05
gglasso_tol_1e-07_rtol_1e-07_p_1000_N_1100_l1_0.05,3.6211262935000263,0.002799834485718424,17796,17,gglasso,1e-07,1e-07,1000,1100,0.05
gglasso_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.05,3.937765454999976,0.0016762160687733899,17806,19,gglasso,5e-08,5e-08,1000,1100,0.05
gglasso_tol_1e-08_rtol_1e-08_p_1000_N_1100_l1_0.05,5.6110554504999754,0.00019234193207956146,17854,28,gglasso,1e-08,1e-08,1000,1100,0.05
gglasso-block_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.05,1.9943694239999559,0.023391894010509912,17472,0,gglasso-block,1e-06,1e-06,1000,1100,0.05
gglasso-block_tol_1e-07_rtol_1e-07_p_1000_N_1100_l1_0.05,3.5979761380000355,0.002799834485718424,17796,0,gglasso-block,1e-07,1e-07,1000,1100,0.05
gglasso-block_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.05,3.895839302999889,0.0016762160687733899,17806,0,gglasso-block,5e-08,5e-08,1000,1100,0.05
gglasso-block_tol_1e-08_rtol_1e-08_p_1000_N_1100_l1_0.05,5.68008777849991,0.00019234193207956146,17854,0,gglasso-block,1e-08,1e-08,1000,1100,0.05
regain_tol_0.0001_rtol_0.0001_p_1000_N_1100_l1_0.05,3.5038067444984335,0.006119285539852404,17730,13,regain,0.0001,0.0001,1000,1100,0.05
regain_tol_1e-05_rtol_1e-05_p_1000_N_1100_l1_0.05,5.7383970390001195,0.0006161915353321288,17850,22,regain,1e-05,1e-05,1000,1100,0.05
regain_tol_5e-06_rtol_5e-06_p_1000_N_1100_l1_0.05,7.071696048999911,0.00023958535364289758,17854,26,regain,5e-06,5e-06,1000,1100,0.05
regain_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.05,11.155288268500044,2.7956578946413255e-05,17870,39,regain,1e-06,1e-06,1000,1100,0.05
sklearn_tol_0.01_enet_0.0001_p_1000_N_1100_l1_0.05,2.275757360499483,0.00012779601775532838,17862,2,sklearn,0.01,0.0001,1000,1100,0.05
sklearn_tol_0.1_enet_0.0001_p_1000_N_1100_l1_0.05,2.304144601000189,0.00012779601775532838,17862,2,sklearn,0.1,0.0001,1000,1100,0.05
gglasso_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.1,1.7077580865000073,0.01871492741909608,668,8,gglasso,1e-06,1e-06,1000,1100,0.1
gglasso_tol_1e-07_rtol_1e-07_p_1000_N_1100_l1_0.1,3.541925832000004,0.0011660447035048628,776,17,gglasso,1e-07,1e-07,1000,1100,0.1
gglasso_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.1,4.579962836999982,0.00031132433701262167,794,22,gglasso,5e-08,5e-08,1000,1100,0.1
gglasso_tol_1e-08_rtol_1e-08_p_1000_N_1100_l1_0.1,6.744224201500003,2.727241133503023e-05,814,33,gglasso,1e-08,1e-08,1000,1100,0.1
gglasso-block_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.1,0.6778697039999884,0.0037291222004641232,716,0,gglasso-block,1e-06,1e-06,1000,1100,0.1
gglasso-block_tol_1e-07_rtol_1e-07_p_1000_N_1100_l1_0.1,1.0959453104999852,9.56431138118496e-05,800,0,gglasso-block,1e-07,1e-07,1000,1100,0.1
gglasso-block_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.1,1.2557402409998986,2.9120606906370018e-05,814,0,gglasso-block,5e-08,5e-08,1000,1100,0.1
gglasso-block_tol_1e-08_rtol_1e-08_p_1000_N_1100_l1_0.1,1.5848396115000014,8.828233059521095e-06,816,0,gglasso-block,1e-08,1e-08,1000,1100,0.1
regain_tol_0.0001_rtol_0.0001_p_1000_N_1100_l1_0.1,2.986696914499589,0.0052869994936605574,716,11,regain,0.0001,0.0001,1000,1100,0.1
regain_tol_1e-05_rtol_1e-05_p_1000_N_1100_l1_0.1,6.9964543715004766,7.638178141470762e-05,806,27,regain,1e-05,1e-05,1000,1100,0.1
regain_tol_5e-06_rtol_5e-06_p_1000_N_1100_l1_0.1,8.794861867999316,2.7459328511651146e-05,814,32,regain,5e-06,5e-06,1000,1100,0.1
regain_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.1,9.729947111000001,1.4607991478609733e-05,816,36,regain,1e-06,1e-06,1000,1100,0.1
sklearn_tol_0.01_enet_0.0001_p_1000_N_1100_l1_0.1,2.169115497000348,1.3035418910207885e-05,818,2,sklearn,0.01,0.0001,1000,1100,0.1
sklearn_tol_0.1_enet_0.0001_p_1000_N_1100_l1_0.1,2.1741160345000026,1.3035418910207885e-05,818,2,sklearn,0.1,0.0001,1000,1100,0.1
gglasso_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.5,1.500045448499975,0.01653793284340306,1936,7,gglasso,1e-06,1e-06,1000,1100,0.5
gglasso_tol_1e-07_rtol_1e-07_p_1000_N_1100_l1_0.5,3.317080502499948,0.0007274337092453351,1930,16,gglasso,1e-07,1e-07,1000,1100,0.5
gglasso_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.5,4.1042492050000305,0.000193196230192388,1930,20,gglasso,5e-08,5e-08,1000,1100,0.5
gglasso_tol_1e-08_rtol_1e-08_p_1000_N_1100_l1_0.5,6.725991195500001,3.3437499080055058e-06,1930,33,gglasso,1e-08,1e-08,1000,1100,0.5
gglasso-block_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.5,0.09135918700002321,1.594104784561907e-06,1930,0,gglasso-block,1e-06,1e-06,1000,1100,0.5
gglasso-block_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.5,0.09823473299991292,1.0478430048503541e-07,1930,0,gglasso-block,5e-08,5e-08,1000,1100,0.5
gglasso-block_tol_1e-07_rtol_1e-07_p_1000_N_1100_l1_0.5,0.10083749350002336,3.6761270463364873e-07,1930,0,gglasso-block,1e-07,1e-07,1000,1100,0.5
gglasso-block_tol_1e-08_rtol_1e-08_p_1000_N_1100_l1_0.5,0.10415316400008123,2.076363391159083e-08,1930,0,gglasso-block,1e-08,1e-08,1000,1100,0.5
regain_tol_0.0001_rtol_0.0001_p_1000_N_1100_l1_0.5,3.0642613555000935,0.002816077662195538,1930,11,regain,0.0001,0.0001,1000,1100,0.5
regain_tol_1e-05_rtol_1e-05_p_1000_N_1100_l1_0.5,6.172766027499165,5.5616078351956695e-05,1930,24,regain,1e-05,1e-05,1000,1100,0.5
regain_tol_5e-06_rtol_5e-06_p_1000_N_1100_l1_0.5,6.816156246501123,4.6310101597787246e-05,1930,26,regain,5e-06,5e-06,1000,1100,0.5
regain_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.5,8.473362047000592,2.688938161502578e-05,1930,32,regain,1e-06,1e-06,1000,1100,0.5
sklearn_tol_0.01_enet_0.0001_p_1000_N_1100_l1_0.5,2.137989223999284,1.2991341816745186e-07,1930,2,sklearn,0.01,0.0001,1000,1100,0.5
sklearn_tol_0.1_enet_0.0001_p_1000_N_1100_l1_0.5,2.1414735825001117,1.2991341816745186e-07,1930,2,sklearn,0.1,0.0001,1000,1100,0.5
gglasso_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.05,8.43756068250002,0.08027703480825664,1474,6,gglasso,1e-06,1e-06,2000,2200,0.05
gglasso_tol_1e-07_rtol_1e-07_p_2000_N_2200_l1_0.05,22.027353086000062,0.008079775642323294,1926,16,gglasso,1e-07,1e-07,2000,2200,0.05
gglasso_tol_5e-08_rtol_5e-08_p_2000_N_2200_l1_0.05,25.34420792000003,0.004191158734414235,1974,19,gglasso,5e-08,5e-08,2000,2200,0.05
gglasso_tol_1e-08_rtol_1e-08_p_2000_N_2200_l1_0.05,33.924702603000014,0.0009316289775764842,2032,26,gglasso,1e-08,1e-08,2000,2200,0.05
gglasso-block_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.05,4.627970009999899,0.04257969827066581,1584,0,gglasso-block,1e-06,1e-06,2000,2200,0.05
gglasso-block_tol_1e-07_rtol_1e-07_p_2000_N_2200_l1_0.05,9.769919269499951,0.004454882599978383,1970,0,gglasso-block,1e-07,1e-07,2000,2200,0.05
gglasso-block_tol_5e-08_rtol_5e-08_p_2000_N_2200_l1_0.05,12.02514111249991,0.0023177741164507343,2006,0,gglasso-block,5e-08,5e-08,2000,2200,0.05
gglasso-block_tol_1e-08_rtol_1e-08_p_2000_N_2200_l1_0.05,15.326640982500066,0.0005157861942455261,2042,0,gglasso-block,1e-08,1e-08,2000,2200,0.05
regain_tol_0.0001_rtol_0.0001_p_2000_N_2200_l1_0.05,27.75051524850005,0.008079775642323274,1926,15,regain,0.0001,0.0001,2000,2200,0.05
regain_tol_1e-05_rtol_1e-05_p_2000_N_2200_l1_0.05,44.16519223500018,0.0009316289775764214,2032,25,regain,1e-05,1e-05,2000,2200,0.05
regain_tol_5e-06_rtol_5e-06_p_2000_N_2200_l1_0.05,49.76483182749962,0.0004936997102371484,2044,28,regain,5e-06,5e-06,2000,2200,0.05
regain_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.05,63.996676763500545,9.309272241320418e-05,2054,36,regain,1e-06,1e-06,2000,2200,0.05
sklearn_tol_0.01_enet_0.0001_p_2000_N_2200_l1_0.05,14.401777959499668,1.4772153458452756e-05,2056,2,sklearn,0.01,0.0001,2000,2200,0.05
sklearn_tol_0.1_enet_0.0001_p_2000_N_2200_l1_0.05,14.534111942500203,1.4772153458452756e-05,2056,2,sklearn,0.1,0.0001,2000,2200,0.05
gglasso_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.1,8.107697288499935,0.06511598775162196,2170,6,gglasso,1e-06,1e-06,2000,2200,0.1
gglasso_tol_1e-07_rtol_1e-07_p_2000_N_2200_l1_0.1,18.269229300000006,0.007937444984079228,2172,14,gglasso,1e-07,1e-07,2000,2200,0.1
gglasso_tol_5e-08_rtol_5e-08_p_2000_N_2200_l1_0.1,22.287753159500085,0.003689943340630792,2174,17,gglasso,5e-08,5e-08,2000,2200,0.1
gglasso_tol_1e-08_rtol_1e-08_p_2000_N_2200_l1_0.1,29.853737996499945,0.0008110134836866163,2178,23,gglasso,1e-08,1e-08,2000,2200,0.1
gglasso-block_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.1,0.904724457000043,3.876138593386126e-05,2182,0,gglasso-block,1e-06,1e-06,2000,2200,0.1
gglasso-block_tol_1e-07_rtol_1e-07_p_2000_N_2200_l1_0.1,0.9932086689999551,4.072049452911079e-06,2182,0,gglasso-block,1e-07,1e-07,2000,2200,0.1
gglasso-block_tol_5e-08_rtol_5e-08_p_2000_N_2200_l1_0.1,1.0083118445000991,1.929592448211642e-06,2182,0,gglasso-block,5e-08,5e-08,2000,2200,0.1
gglasso-block_tol_1e-08_rtol_1e-08_p_2000_N_2200_l1_0.1,1.0781326985000987,3.599965492503172e-07,2182,0,gglasso-block,1e-08,1e-08,2000,2200,0.1
regain_tol_0.0001_rtol_0.0001_p_2000_N_2200_l1_0.1,23.579847594999592,0.007937444984079169,2172,13,regain,0.0001,0.0001,2000,2200,0.1
regain_tol_1e-05_rtol_1e-05_p_2000_N_2200_l1_0.1,39.77813242299999,0.0008110134836864173,2178,22,regain,1e-05,1e-05,2000,2200,0.1
regain_tol_5e-06_rtol_5e-06_p_2000_N_2200_l1_0.1,46.05969373700009,0.00038282864312652956,2180,25,regain,5e-06,5e-06,2000,2200,0.1
regain_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.1,58.27348952899956,5.2711581273873236e-05,2182,33,regain,1e-06,1e-06,2000,2200,0.1
sklearn_tol_0.01_enet_0.0001_p_2000_N_2200_l1_0.1,14.244859114000974,8.096018850998605e-07,2182,2,sklearn,0.01,0.0001,2000,2200,0.1
sklearn_tol_0.1_enet_0.0001_p_2000_N_2200_l1_0.1,14.352437414000633,8.096018850998605e-07,2182,2,sklearn,0.1,0.0001,2000,2200,0.1
gglasso_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.5,8.761798183500105,0.06127173744983003,3932,6,gglasso,1e-06,1e-06,2000,2200,0.5
gglasso_tol_1e-07_rtol_1e-07_p_2000_N_2200_l1_0.5,18.063431294499992,0.007045208355241181,3924,14,gglasso,1e-07,1e-07,2000,2200,0.5
gglasso_tol_5e-08_rtol_5e-08_p_2000_N_2200_l1_0.5,21.670846123000047,0.004170785997623642,3924,16,gglasso,5e-08,5e-08,2000,2200,0.5
gglasso_tol_1e-08_rtol_1e-08_p_2000_N_2200_l1_0.5,29.702048133999938,0.0006816606711631752,3924,23,gglasso,1e-08,1e-08,2000,2200,0.5
gglasso-block_tol_1e-08_rtol_1e-08_p_2000_N_2200_l1_0.5,0.24373836900008428,7.314594414458819e-08,3924,0,gglasso-block,1e-08,1e-08,2000,2200,0.5
gglasso-block_tol_5e-08_rtol_5e-08_p_2000_N_2200_l1_0.5,0.24430528750008307,4.5049872614699664e-07,3924,0,gglasso-block,5e-08,5e-08,2000,2200,0.5
gglasso-block_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.5,0.2558936334999089,4.2831526515150666e-06,3924,0,gglasso-block,1e-06,1e-06,2000,2200,0.5
gglasso-block_tol_1e-07_rtol_1e-07_p_2000_N_2200_l1_0.5,0.264132206499994,8.256649455317371e-07,3924,0,gglasso-block,1e-07,1e-07,2000,2200,0.5
regain_tol_0.0001_rtol_0.0001_p_2000_N_2200_l1_0.5,24.32220053650053,0.00704520835524116,3924,13,regain,0.0001,0.0001,2000,2200,0.5
regain_tol_1e-05_rtol_1e-05_p_2000_N_2200_l1_0.5,39.48977071700028,0.0006816606711633539,3924,22,regain,1e-05,1e-05,2000,2200,0.5
regain_tol_5e-06_rtol_5e-06_p_2000_N_2200_l1_0.5,42.50350106699989,0.00040852115370018036,3924,24,regain,5e-06,5e-06,2000,2200,0.5
regain_tol_1e-06_rtol_1e-06_p_2000_N_2200_l1_0.5,54.373900817000504,6.921821780074745e-05,3924,31,regain,1e-06,1e-06,2000,2200,0.5
sklearn_tol_0.01_enet_0.0001_p_2000_N_2200_l1_0.5,14.204600019999816,1.6146918358163834e-08,3924,2,sklearn,0.01,0.0001,2000,2200,0.5
sklearn_tol_0.1_enet_0.0001_p_2000_N_2200_l1_0.5,14.24178518699955,1.6146918358163834e-08,3924,2,sklearn,0.1,0.0001,2000,2200,0.5
gglasso_tol_1e-06_rtol_1e-06_p_4000_N_4400_l1_0.05,40.77142962950006,0.1969465265674569,3018,4,gglasso,1e-06,1e-06,4000,4400,0.05
gglasso_tol_1e-07_rtol_1e-07_p_4000_N_4400_l1_0.05,107.5998835559999,0.028037343684575857,3012,10,gglasso,1e-07,1e-07,4000,4400,0.05
gglasso_tol_5e-08_rtol_5e-08_p_4000_N_4400_l1_0.05,128.79154973999994,0.014486748327749542,3046,12,gglasso,5e-08,5e-08,4000,4400,0.05
gglasso_tol_1e-08_rtol_1e-08_p_4000_N_4400_l1_0.05,190.23365058700028,0.002101153383479445,3118,18,gglasso,1e-08,1e-08,4000,4400,0.05
gglasso-block_tol_1e-06_rtol_1e-06_p_4000_N_4400_l1_0.05,3.8227802740002517,0.011569039903435292,3006,0,gglasso-block,1e-06,1e-06,4000,4400,0.05
gglasso-block_tol_1e-07_rtol_1e-07_p_4000_N_4400_l1_0.05,6.2357907454997985,0.0006372271633150369,3126,0,gglasso-block,1e-07,1e-07,4000,4400,0.05
gglasso-block_tol_5e-08_rtol_5e-08_p_4000_N_4400_l1_0.05,6.280140035999466,0.0001068598866225095,3194,0,gglasso-block,5e-08,5e-08,4000,4400,0.05
gglasso-block_tol_1e-08_rtol_1e-08_p_4000_N_4400_l1_0.05,8.85922951099974,4.092388330896796e-05,3258,0,gglasso-block,1e-08,1e-08,4000,4400,0.05
regain_tol_0.0001_rtol_0.0001_p_4000_N_4400_l1_0.05,157.5424345020001,0.014486748327749622,3046,11,regain,0.0001,0.0001,4000,4400,0.05
regain_tol_1e-05_rtol_1e-05_p_4000_N_4400_l1_0.05,313.11447526400116,0.00032718284880435804,3180,23,regain,1e-05,1e-05,4000,4400,0.05
regain_tol_5e-06_rtol_5e-06_p_4000_N_4400_l1_0.05,391.0931753279983,9.254019609619782e-05,3222,29,regain,5e-06,5e-06,4000,4400,0.05
regain_tol_1e-06_rtol_1e-06_p_4000_N_4400_l1_0.05,517.6227313825002,4.5304435334305244e-05,3256,39,regain,1e-06,1e-06,4000,4400,0.05
sklearn_tol_0.1_enet_0.0001_p_4000_N_4400_l1_0.05,106.20292441000038,4.772700544807158e-05,3254,2,sklearn,0.1,0.0001,4000,4400,0.05
sklearn_tol_0.01_enet_0.0001_p_4000_N_4400_l1_0.05,142.15937932450106,2.5880526502710526e-05,3262,3,sklearn,0.01,0.0001,4000,4400,0.05
gglasso_tol_1e-06_rtol_1e-06_p_4000_N_4400_l1_0.1,39.95873468749994,0.1894973114710568,7016,4,gglasso,1e-06,1e-06,4000,4400,0.1
gglasso_tol_1e-07_rtol_1e-07_p_4000_N_4400_l1_0.1,107.15776182149989,0.024995741349221303,6956,10,gglasso,1e-07,1e-07,4000,4400,0.1
gglasso_tol_5e-08_rtol_5e-08_p_4000_N_4400_l1_0.1,127.90440620899994,0.012497025266767674,6956,12,gglasso,5e-08,5e-08,4000,4400,0.1
gglasso_tol_1e-08_rtol_1e-08_p_4000_N_4400_l1_0.1,189.48750888199993,0.001614980815284944,6956,18,gglasso,1e-08,1e-08,4000,4400,0.1
gglasso-block_tol_1e-06_rtol_1e-06_p_4000_N_4400_l1_0.1,1.0312532829998418,3.495150071385325e-05,6956,0,gglasso-block,1e-06,1e-06,4000,4400,0.1
gglasso-block_tol_1e-07_rtol_1e-07_p_4000_N_4400_l1_0.1,1.0651912905000245,4.043021059851572e-06,6956,0,gglasso-block,1e-07,1e-07,4000,4400,0.1
gglasso-block_tol_1e-08_rtol_1e-08_p_4000_N_4400_l1_0.1,1.0846568264996677,3.826125038008841e-07,6956,0,gglasso-block,1e-08,1e-08,4000,4400,0.1
gglasso-block_tol_5e-08_rtol_5e-08_p_4000_N_4400_l1_0.1,1.100003350499719,2.0372638311722727e-06,6956,0,gglasso-block,5e-08,5e-08,4000,4400,0.1
regain_tol_0.0001_rtol_0.0001_p_4000_N_4400_l1_0.1,156.75848917000076,0.012497025266767695,6956,11,regain,0.0001,0.0001,4000,4400,0.1
regain_tol_1e-05_rtol_1e-05_p_4000_N_4400_l1_0.1,301.009530513501,0.00029816317440672685,6956,22,regain,1e-05,1e-05,4000,4400,0.1
regain_tol_5e-06_rtol_5e-06_p_4000_N_4400_l1_0.1,381.0503492789976,5.914273238707961e-05,6956,28,regain,5e-06,5e-06,4000,4400,0.1
regain_tol_1e-06_rtol_1e-06_p_4000_N_4400_l1_0.1,483.79224161399907,2.7788972421089034e-05,6956,36,regain,1e-06,1e-06,4000,4400,0.1
sklearn_tol_0.01_enet_0.0001_p_4000_N_4400_l1_0.1,103.65857848249925,1.5316389658185183e-06,6956,2,sklearn,0.01,0.0001,4000,4400,0.1
sklearn_tol_0.1_enet_0.0001_p_4000_N_4400_l1_0.1,105.09223495300012,1.5316389658185183e-06,6956,2,sklearn,0.1,0.0001,4000,4400,0.1
gglasso_tol_1e-06_rtol_1e-06_p_4000_N_4400_l1_0.5,38.97768869950005,0.18763407389036377,7980,4,gglasso,1e-06,1e-06,4000,4400,0.5
gglasso_tol_1e-07_rtol_1e-07_p_4000_N_4400_l1_0.5,118.83222586649993,0.023029385000688213,7884,12,gglasso,1e-07,1e-07,4000,4400,0.5
gglasso_tol_5e-08_rtol_5e-08_p_4000_N_4400_l1_0.5,146.69216484949993,0.011530927632915987,7882,14,gglasso,5e-08,5e-08,4000,4400,0.5
gglasso_tol_1e-08_rtol_1e-08_p_4000_N_4400_l1_0.5,200.1656992615001,0.0020933522604050037,7878,19,gglasso,1e-08,1e-08,4000,4400,0.5
gglasso-block_tol_1e-08_rtol_1e-08_p_4000_N_4400_l1_0.5,0.8294439235000937,2.4876482528890243e-08,7878,0,gglasso-block,1e-08,1e-08,4000,4400,0.5
gglasso-block_tol_1e-07_rtol_1e-07_p_4000_N_4400_l1_0.5,0.8413752960000238,2.0077855268947854e-07,7878,0,gglasso-block,1e-07,1e-07,4000,4400,0.5
gglasso-block_tol_5e-08_rtol_5e-08_p_4000_N_4400_l1_0.5,0.8535492534997502,1.007405581679261e-07,7878,0,gglasso-block,5e-08,5e-08,4000,4400,0.5
